Symbol,Name,Country,IPO Year,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,China,,Consumer Services,Other Consumer Services
AACQ,Artius Acquisition Inc. Class A Common Stock,United States,2020,Finance,Business Services
AACQU,Artius Acquisition Inc. Unit ,United States,2020,Finance,Business Services
AACQW,Artius Acquisition Inc Warrant,United States,2020,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Major Pharmaceuticals
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Finance,Diversified Commercial Services
ABST,Absolute Software Corporation Common Stock,Canada,2020,Technology,Computer Software: Prepackaged Software
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,Health Care,Major Pharmaceuticals
ACAC,Acies Acquisition Corp. Class A Ordinary Share,United States,2020,Finance,Business Services
ACACU,Acies Acquisition Corp. Unit,United States,2020,Finance,Business Services
ACACW,Acies Acquisition Corp. Warrant,United States,2020,Finance,Business Services
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Major Pharmaceuticals
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,United States,2020,,
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,,Health Care,Major Pharmaceuticals
ACET,Adicet Bio Inc. Common Stock ,United States,2018,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,2020,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,2020,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,2020,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,Acacia Communications Inc. Common Stock,United States,2016,Technology,Semiconductors
ACIU,AC Immune SA Common Stock,Switzerland,2016,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,2021,Finance,Business Services
ACKIU,Ackrell SPAC Partners I Co. Units,United States,2020,Finance,Business Services
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,2021,Finance,Business Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,Health Care,Major Pharmaceuticals
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,United States,2020,Capital Goods,Auto Manufacturing
ACTCU,ArcLight Clean Transition Corp. Unit,United States,2020,Capital Goods,Auto Manufacturing
ACTCW,ArcLight Clean Transition Corp. Warrant,United States,2020,Capital Goods,Auto Manufacturing
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,Miscellaneous,Multi-Sector Companies
ADAG,Adagene Inc. American Depositary Shares,China,2021,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
ADERU,26 Capital Acquisition Corp. Unit,United States,2021,Finance,Business Services
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,,Basic Industries,Major Chemicals
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,United States,2018,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,,Health Care,Major Pharmaceuticals
